buy_order,sell_order,trade_type,price,quantity,timestamp
BUY-1763965650522-001717,SELL-1763965655393-001827,FOREX,1.1,338,2026-01-20 12:12:12.510270
BUY-1763965650528-006549,SELL-1763965655390-000118,EQUITY,100.0,36,2026-01-20 12:12:12.510338
BUY-1763965650522-001717,SELL-1763965655393-001418,FOREX,7.23,11,2026-01-20 12:12:12.510354
BUY-1763965650522-001717,SELL-1763965655398-004485,FOREX,1.3,12,2026-01-20 12:12:12.510365
BUY-1763965650524-003423,SELL-1763965655398-004485,FOREX,1.3,286,2026-01-20 12:12:12.510374
BUY-1763965650524-003423,SELL-1763965655394-002337,FOREX,2.48,472,2026-01-20 12:12:12.510384
BUY-1763965650523-002900,SELL-1763965655394-002337,FOREX,2.48,86,2026-01-20 12:12:12.510392
BUY-1763965650524-003463,SELL-1763965655394-002337,FOREX,2.48,207,2026-01-20 12:12:12.510398
BUY-1763965650528-006549,SELL-1763965655393-001525,EQUITY,402.38,37,2026-01-20 12:12:12.510408
BUY-1763965650528-006549,SELL-1763965655394-002053,EQUITY,105.37,51,2026-01-20 12:12:12.510418
BUY-1763965650527-005302,SELL-1763965655394-002053,EQUITY,105.37,175,2026-01-20 12:12:12.510424
BUY-1763965650523-002598,SELL-1763965655394-002053,EQUITY,105.37,99,2026-01-20 12:12:12.510430
BUY-1763965650521-001415,SELL-1763965655394-002053,EQUITY,105.37,22,2026-01-20 12:12:12.510435
BUY-1763965650527-005355,SELL-1763965655394-002053,EQUITY,105.37,18,2026-01-20 12:12:12.510440
BUY-1763965650527-005355,SELL-1763965655390-000000,EQUITY,200.0,20,2026-01-20 12:12:12.510449
BUY-1763965650524-003463,SELL-1763965655395-002852,FOREX,4.28,505,2026-01-20 12:12:12.510458
BUY-1763965650528-006433,SELL-1763965655395-002852,FOREX,4.28,51,2026-01-20 12:12:12.510472
BUY-1763965650526-005067,SELL-1763965655391-000834,CRYPTO,967.66,5,2026-01-20 12:12:12.510483
BUY-1763965650526-004705,SELL-1763965655391-000834,CRYPTO,967.66,5,2026-01-20 12:12:12.510497
BUY-1763965650528-006505,SELL-1763965655391-000834,CRYPTO,967.66,2,2026-01-20 12:12:12.510503
BUY-1763965650528-006064,SELL-1763965655391-000834,CRYPTO,967.66,6,2026-01-20 12:12:12.510507
BUY-1763965650523-002457,SELL-1763965655391-000834,CRYPTO,967.66,1,2026-01-20 12:12:12.510513
BUY-1763965650527-005355,SELL-1763965655396-003203,EQUITY,50.75,154,2026-01-20 12:12:12.510522
BUY-1763965650529-007362,SELL-1763965655396-003203,EQUITY,50.75,87,2026-01-20 12:12:12.510527
BUY-1763965650528-005986,SELL-1763965655396-003203,EQUITY,50.75,29,2026-01-20 12:12:12.510532
BUY-1763965650528-005986,SELL-1763965655393-001446,EQUITY,353.48,100,2026-01-20 12:12:12.510541
BUY-1763965650529-006857,SELL-1763965655393-001446,EQUITY,353.48,8,2026-01-20 12:12:12.510546
BUY-1763965650529-006857,SELL-1763965655393-001645,EQUITY,139.63,174,2026-01-20 12:12:12.510557
BUY-1763965650525-003694,SELL-1763965655393-001645,EQUITY,139.63,129,2026-01-20 12:12:12.510563
BUY-1763965650524-003637,SELL-1763965655393-001645,EQUITY,139.63,24,2026-01-20 12:12:12.510568
BUY-1763965650524-003637,SELL-1763965655393-001936,EQUITY,155.04,105,2026-01-20 12:12:12.510577
BUY-1763965650529-006981,SELL-1763965655393-001936,EQUITY,155.04,179,2026-01-20 12:12:12.510582
BUY-1763965650526-004660,SELL-1763965655393-001936,EQUITY,155.04,54,2026-01-20 12:12:12.510587
BUY-1763965650523-002457,SELL-1763965655392-001329,CRYPTO,3716.76,2,2026-01-20 12:12:12.510596
BUY-1763965650527-005582,SELL-1763965655392-001329,CRYPTO,3716.76,2,2026-01-20 12:12:12.510601
BUY-1763965650529-006825,SELL-1763965655392-001329,CRYPTO,3716.76,2,2026-01-20 12:12:12.510605
BUY-1763965650529-006825,SELL-1763965655393-001618,CRYPTO,2295.09,5,2026-01-20 12:12:12.510614
BUY-1763965650527-005371,SELL-1763965655393-001618,CRYPTO,2295.09,6,2026-01-20 12:12:12.510619
BUY-1763965650527-005294,SELL-1763965655393-001618,CRYPTO,2295.09,4,2026-01-20 12:12:12.510623
BUY-1763965650528-005961,SELL-1763965655393-001618,CRYPTO,2295.09,4,2026-01-20 12:12:12.510628
BUY-1763965650526-004660,SELL-1763965655392-000983,EQUITY,278.17,41,2026-01-20 12:12:12.510638
BUY-1763965650528-005896,SELL-1763965655393-001492,CRYPTO,1461.39,4,2026-01-20 12:12:12.510647
BUY-1763965650528-005896,SELL-1763965655394-001997,CRYPTO,2607.25,6,2026-01-20 12:12:12.510656
BUY-1763965650526-004873,SELL-1763965655394-001997,CRYPTO,2607.25,4,2026-01-20 12:12:12.510661
BUY-1763965650521-001253,SELL-1763965655394-001997,CRYPTO,2607.25,1,2026-01-20 12:12:12.510666
BUY-1763965650525-003880,SELL-1763965655394-001997,CRYPTO,2607.25,2,2026-01-20 12:12:12.510671
BUY-1763965650520-000941,SELL-1763965655394-001997,CRYPTO,2607.25,1,2026-01-20 12:12:12.510675
BUY-1763965650524-002987,SELL-1763965655394-001997,CRYPTO,2607.25,1,2026-01-20 12:12:12.510679
BUY-1763965650524-002987,SELL-1763965655397-003692,CRYPTO,360.57,5,2026-01-20 12:12:12.510688
BUY-1763965650520-000879,SELL-1763965655397-003692,CRYPTO,360.57,7,2026-01-20 12:12:12.510693
BUY-1763965650529-006758,SELL-1763965655397-003692,CRYPTO,360.57,8,2026-01-20 12:12:12.510707
BUY-1763965650529-007081,SELL-1763965655397-003692,CRYPTO,360.57,2,2026-01-20 12:12:12.510711
BUY-1763965650520-000778,SELL-1763965655397-003692,CRYPTO,360.57,1,2026-01-20 12:12:12.510716
BUY-1763965650524-003574,SELL-1763965655397-003692,CRYPTO,360.57,7,2026-01-20 12:12:12.510721
BUY-1763965650529-007137,SELL-1763965655397-003692,CRYPTO,360.57,4,2026-01-20 12:12:12.510726
BUY-1763965650522-001663,SELL-1763965655397-003692,CRYPTO,360.57,4,2026-01-20 12:12:12.510731
BUY-1763965650528-006433,SELL-1763965655398-004296,FOREX,4.98,140,2026-01-20 12:12:12.510741
BUY-1763965650528-006384,SELL-1763965655398-004296,FOREX,4.98,449,2026-01-20 12:12:12.510747
BUY-1763965650528-006180,SELL-1763965655398-004296,FOREX,4.98,75,2026-01-20 12:12:12.510752
BUY-1763965650522-001988,SELL-1763965655398-004296,FOREX,4.98,121,2026-01-20 12:12:12.510757
BUY-1763965650526-004660,SELL-1763965655392-000950,EQUITY,230.56,57,2026-01-20 12:12:12.510766
BUY-1763965650520-000674,SELL-1763965655392-000950,EQUITY,230.56,165,2026-01-20 12:12:12.510771
BUY-1763965650528-006510,SELL-1763965655392-000950,EQUITY,230.56,90,2026-01-20 12:12:12.510776
BUY-1763965650520-000942,SELL-1763965655392-000950,EQUITY,230.56,20,2026-01-20 12:12:12.510824
BUY-1763965650520-000942,SELL-1763965655398-004383,EQUITY,431.01,173,2026-01-20 12:12:12.510834
BUY-1763965650528-006375,SELL-1763965655398-004383,EQUITY,431.01,17,2026-01-20 12:12:12.510840
BUY-1763965650522-001988,SELL-1763965655398-004452,FOREX,2.69,118,2026-01-20 12:12:12.510850
BUY-1763965650522-001988,SELL-1763965655392-001110,FOREX,4.62,447,2026-01-20 12:12:12.510859
BUY-1763965650529-007439,SELL-1763965655392-001110,FOREX,4.62,105,2026-01-20 12:12:12.510864
BUY-1763965650528-006375,SELL-1763965655392-001170,EQUITY,282.36,2,2026-01-20 12:12:12.510872
BUY-1763965650524-003269,SELL-1763965655392-001170,EQUITY,282.36,84,2026-01-20 12:12:12.510877
